City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Najran,SA,2021-03-04 06:02:12,17.4924,44.1277,66.2,27,0,9.24
1,Barrow,US,2021-03-04 06:00:02,71.2906,-156.7887,-18.4,69,1,5.75
2,Bluff,NZ,2021-03-04 06:02:18,-46.6,168.3333,61.0,47,29,8.99
3,Bakhchysaray,UA,2021-03-04 06:02:19,44.75,33.8667,45.0,52,0,3.11
4,Ushuaia,AR,2021-03-04 05:57:39,-54.8,-68.3,48.2,76,0,5.75
5,La Ronge,CA,2021-03-04 06:02:21,55.1001,-105.2842,17.6,86,100,1.14
6,Albany,US,2021-03-04 06:02:22,42.6001,-73.9662,36.0,85,83,1.01
7,San Vicente,AR,2021-03-04 06:02:23,-26.6167,-54.1333,65.05,100,99,3.31
8,Lagoa,PT,2021-03-04 06:02:24,39.05,-27.9833,59.18,86,99,20.09
9,Vaini,TO,2021-03-04 06:02:26,-21.2,-175.2,82.4,78,75,9.22
10,Mataura,NZ,2021-03-04 06:02:27,-46.1927,168.8643,61.0,47,58,8.99
11,Rikitea,PF,2021-03-04 06:02:28,-23.1203,-134.9692,80.01,82,64,9.8
12,Middelburg,ZA,2021-03-04 06:02:29,-25.7751,29.4648,65.62,52,8,5.55
13,Souillac,MU,2021-03-04 06:02:30,-20.5167,57.5167,84.2,65,40,9.22
14,Burnie,AU,2021-03-04 06:02:31,-41.0667,145.9167,69.01,54,58,24.0
15,Mandurah,AU,2021-03-04 06:02:32,-32.55,115.7,82.99,65,40,14.97
16,Santa Marta,CO,2021-03-04 06:02:04,11.2408,-74.199,80.01,74,14,16.31
17,Oistins,BB,2021-03-04 06:00:57,13.0667,-59.5333,77.0,73,75,21.85
18,Hithadhoo,MV,2021-03-04 06:02:35,-0.6,73.0833,82.42,71,13,10.67
19,Kabo,CF,2021-03-04 06:02:36,7.6994,18.629,73.11,21,61,3.91
20,Constitucion,CL,2021-03-04 06:02:37,-35.3333,-72.4167,63.77,60,0,5.68
21,Scarborough,GB,2021-03-04 06:00:05,54.2797,-0.4044,37.99,85,100,1.99
22,Fairbanks,US,2021-03-04 06:02:11,64.8378,-147.7164,-2.0,77,90,2.37
23,Hami,CN,2021-03-04 06:02:40,42.8,93.45,48.43,46,61,7.76
24,Hobart,AU,2021-03-04 06:02:42,-42.8794,147.3294,68.0,32,0,24.16
25,Butaritari,KI,2021-03-04 06:02:43,3.0707,172.7902,81.3,81,21,17.98
26,Punta Arenas,CL,2021-03-04 06:02:44,-53.15,-70.9167,50.0,76,75,8.05
27,Saldanha,ZA,2021-03-04 06:02:45,-33.0117,17.9442,62.6,88,17,4.61
28,Puerto Ayora,EC,2021-03-04 06:02:46,-0.7393,-90.3518,75.0,96,89,1.77
29,Myitkyina,MM,2021-03-04 06:02:47,25.3833,97.4,93.15,19,47,2.48
30,Beringovskiy,RU,2021-03-04 06:02:48,63.05,179.3167,30.04,96,100,43.8
31,Hovd,MN,2021-03-04 06:02:49,48.0056,91.6419,24.62,51,0,3.2
32,Puerto Del Rosario,ES,2021-03-04 06:02:50,28.5004,-13.8627,60.8,72,0,10.36
33,Bethel,US,2021-03-04 05:58:20,41.3712,-73.414,32.0,74,1,4.14
34,Cherskiy,RU,2021-03-04 06:02:53,68.75,161.3,-6.79,98,100,4.59
35,Port-Gentil,GA,2021-03-04 06:02:54,-0.7193,8.7815,80.6,94,75,3.44
36,Katsuura,JP,2021-03-04 06:02:55,35.1333,140.3,55.99,62,75,4.61
37,Thompson,CA,2021-03-04 06:00:05,55.7435,-97.8558,8.6,92,1,2.3
38,East London,ZA,2021-03-04 06:02:57,-33.0153,27.9116,69.8,88,75,6.91
39,Kyaukse,MM,2021-03-04 06:02:57,21.6,96.1333,96.8,20,0,9.22
40,Sawakin,SD,2021-03-04 06:00:39,19.1059,37.3321,72.03,64,70,12.97
41,Kodiak,US,2021-03-04 06:01:53,57.79,-152.4072,32.0,55,1,21.85
42,Busselton,AU,2021-03-04 06:03:00,-33.65,115.3333,78.01,62,28,5.99
43,Florianopolis,BR,2021-03-04 05:58:55,-27.6146,-48.5012,75.99,94,40,3.44
44,Dawlatabad,AF,2021-03-04 06:03:02,36.4141,64.9053,64.53,36,56,2.84
45,Bredasdorp,ZA,2021-03-04 06:03:03,-34.5322,20.0403,66.2,88,71,6.91
46,Yellowknife,CA,2021-03-04 06:03:04,62.456,-114.3525,-13.0,70,20,9.22
47,Henties Bay,NA,2021-03-04 06:03:06,-22.116,14.2845,69.93,70,5,4.97
48,Yeovil,GB,2021-03-04 06:01:17,50.9416,-2.6321,45.0,100,75,6.91
49,Victoria,HK,2021-03-04 05:58:34,22.2855,114.1577,66.99,88,100,1.01
50,Cape Town,ZA,2021-03-04 06:03:10,-33.9258,18.4232,68.0,88,90,13.8
51,Cabo San Lucas,MX,2021-03-04 06:00:13,22.8909,-109.9124,69.01,28,20,13.76
52,Asau,RO,2021-03-04 06:03:13,46.4333,26.4,44.01,41,7,7.23
53,Flin Flon,CA,2021-03-04 06:03:14,54.7682,-101.865,19.69,98,76,3.02
54,Te Anau,NZ,2021-03-04 06:03:15,-45.4167,167.7167,55.17,52,32,10.31
55,Leningradskiy,RU,2021-03-04 06:03:16,69.3833,178.4167,-10.48,86,100,31.94
56,Bowen,AU,2021-03-04 06:03:17,-20.0167,148.2333,82.4,69,90,21.85
57,Port Hardy,CA,2021-03-04 06:03:18,50.6996,-127.4199,44.6,87,90,10.36
