City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Rikitea,PF,78.82,clear sky,-23.1203,-134.9692,Pension Maro'i
7,Mar Del Plata,AR,73.4,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
8,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
12,Bambous Virieux,MU,78.8,broken clouds,-20.3428,57.7575,Casa Tia Villa
13,Sinnamary,GF,77.81,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
15,Mancora,PE,84.2,light rain,-4.1078,-81.0475,Máncora Marina Hotel
23,Blackwater,AU,79.11,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
25,Padang,ID,73.4,scattered clouds,-0.9492,100.3543,Mercure Padang
26,Atuona,PF,79.93,scattered clouds,-9.8,-139.0333,Villa Enata
30,Illela,NG,79.68,overcast clouds,13.7292,5.2975,
31,Shirgaon,IN,75.04,clear sky,19.7,72.7,Samarth Krupa Agro Tourism Farm
34,Alta Floresta,BR,70.32,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
35,Machali,CL,73.4,clear sky,-34.1833,-70.6667,Mining House
36,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
37,Xuddur,SO,70.81,clear sky,4.1213,43.8894,Banjanay Hotel
42,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,East London,ZA,74.71,clear sky,-33.0153,27.9116,Tu Casa
48,Sao Joao Da Barra,BR,76.33,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
51,Kirakira,SB,83.12,overcast clouds,-10.4544,161.9205,SanBiz Lodge
52,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
61,Matara,LK,76.32,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
63,Trairi,BR,79.02,overcast clouds,-3.2778,-39.2689,janelas do mar
64,Hithadhoo,MV,78.35,overcast clouds,-0.6,73.0833,Scoop Guest House
66,Carnarvon,AU,73.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
68,Aripuana,BR,71.4,light rain,-9.1667,-60.6333,
74,Oranjestad,AW,80.6,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
78,Labuhan,ID,77.32,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
79,Busselton,AU,71.01,light rain,-33.65,115.3333,Observatory Guest House
80,Teahupoo,PF,87.8,scattered clouds,-17.8333,-149.2667,Vanira Lodge
82,Mbini,GQ,79.72,broken clouds,1.574,9.6134,
85,Freetown,SL,78.82,scattered clouds,8.484,-13.2299,The Country Lodge Hotel
91,Grand Gaube,MU,77.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
93,Hambantota,LK,75.97,overcast clouds,6.1241,81.1185,Bungalow 63
94,Sulangan,PH,80.6,overcast clouds,11.1373,123.7228,Maia's Beach Resort
95,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
100,Barinas,VE,89.6,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
103,Weston,US,73.0,overcast clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
105,Avarua,CK,82.4,moderate rain,-21.2078,-159.775,Paradise Inn
107,Namibe,AO,75.49,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
109,Candelaria,PH,74.39,scattered clouds,13.9311,121.4233,Casa de Provincia
110,Puerto Ayora,EC,81.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Gusau,NG,78.53,broken clouds,12.1628,6.6614,GUEST INN
121,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
124,Butaritari,KI,81.43,light rain,3.0707,172.7902,Isles Sunset Lodge
125,Sola,VU,80.6,overcast clouds,-13.8833,167.55,Leumerus Bungalows
127,Ranong,TH,74.77,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
128,Metro,ID,72.25,moderate rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
133,Eyl,SO,75.78,scattered clouds,7.9803,49.8164,Amiin Hotel
136,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
137,Itaueira,BR,74.8,broken clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
138,Gweta,BW,78.15,few clouds,-20.1833,25.2333,Gweta Lodge
143,Mandera,KE,77.94,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
149,Manta,EC,80.6,light rain,-0.95,-80.7333,Balandra Hotel
150,Bolobo,CD,76.69,overcast clouds,-2.1667,16.2333,
151,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
152,Meulaboh,ID,75.11,clear sky,4.1363,96.1285,Kost Pria
