City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lavrentiya,RU,65.5833,-171.0,-16.26,80,0,5.7,clear sky
1,Qaanaaq,GL,77.484,-69.3632,6.49,78,1,5.97,clear sky
2,Saskylakh,RU,71.9167,114.0833,-15.93,84,95,20.56,overcast clouds
3,San Quintin,MX,30.4833,-115.95,59.54,60,21,15.97,few clouds
4,Vardo,NO,70.3705,31.1107,14.0,67,20,27.63,snow
5,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,0,5.75,light rain
6,Rikitea,PF,-23.1203,-134.9692,78.82,75,10,17.43,clear sky
7,Mar Del Plata,AR,-38.0023,-57.5575,73.4,68,0,9.22,clear sky
8,Kapaa,US,22.0752,-159.319,75.2,83,40,5.75,light rain
9,Mataura,NZ,-46.1927,168.8643,55.99,71,11,1.01,few clouds
10,Asau,RO,46.4333,26.4,28.99,68,100,3.18,light snow
11,Dikson,RU,73.5069,80.5464,-8.23,90,100,23.64,overcast clouds
12,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,75,10.36,broken clouds
13,Sinnamary,GF,5.3833,-52.95,77.81,85,92,13.27,overcast clouds
14,Ribeira Grande,PT,38.5167,-28.7,58.6,88,100,12.03,overcast clouds
15,Mancora,PE,-4.1078,-81.0475,84.2,65,40,10.36,light rain
16,Cidreira,BR,-30.1811,-50.2056,69.69,78,14,4.5,few clouds
17,Ushuaia,AR,-54.8,-68.3,46.4,57,75,11.5,broken clouds
18,Abaza,RU,52.655,90.0928,22.35,88,68,6.46,broken clouds
19,Nyagan,RU,62.1406,65.3936,-21.89,87,96,2.8,overcast clouds
20,Kryve Ozero,UA,47.9524,30.3493,26.94,85,100,8.25,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,66.0,94,75,2.3,light rain
22,Korla,CN,41.7597,86.1469,45.41,54,100,2.59,overcast clouds
23,Blackwater,AU,-23.5833,148.8833,79.11,66,100,7.81,overcast clouds
24,Ahipara,NZ,-35.1667,173.1667,69.46,76,12,9.6,few clouds
25,Padang,ID,-0.9492,100.3543,73.4,94,40,2.3,scattered clouds
26,Atuona,PF,-9.8,-139.0333,79.93,75,26,15.5,scattered clouds
27,Bam,IR,29.106,58.357,61.65,29,0,15.19,clear sky
28,New Norfolk,AU,-42.7826,147.0587,64.0,61,2,1.01,clear sky
29,Albany,US,42.6001,-73.9662,57.2,35,40,18.41,scattered clouds
30,Illela,NG,13.7292,5.2975,79.68,16,88,1.43,overcast clouds
31,Shirgaon,IN,19.7,72.7,75.04,64,0,4.45,clear sky
32,Ennis,IE,52.8436,-8.9864,48.2,87,75,34.52,broken clouds
33,Upernavik,GL,72.7868,-56.1549,6.55,81,31,2.44,scattered clouds
34,Alta Floresta,BR,-9.8756,-56.0861,70.32,96,97,2.1,light rain
35,Machali,CL,-34.1833,-70.6667,73.4,40,0,10.36,clear sky
36,Bathsheba,BB,13.2167,-59.5167,78.8,65,20,18.41,few clouds
37,Xuddur,SO,4.1213,43.8894,70.81,73,5,15.26,clear sky
38,Mount Gambier,AU,-37.8333,140.7667,53.6,100,61,5.75,broken clouds
39,Khatanga,RU,71.9667,102.5,-16.19,87,100,23.85,light snow
40,Vagur,FO,61.4732,-6.8119,38.62,96,100,16.37,overcast clouds
41,Jamestown,US,42.097,-79.2353,62.6,25,1,12.06,clear sky
42,Mahebourg,MU,-20.4081,57.7,78.8,83,75,10.36,broken clouds
43,Pahrump,US,36.2083,-115.9839,52.0,46,97,5.01,overcast clouds
44,Leningradskiy,RU,69.3833,178.4167,-14.82,77,0,5.64,clear sky
45,Kodiak,US,57.79,-152.4072,35.6,55,40,19.57,scattered clouds
46,Muravlenko,RU,63.7898,74.523,-31.65,85,0,6.02,clear sky
47,East London,ZA,-33.0153,27.9116,74.71,71,9,9.86,clear sky
48,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.33,90,98,3.62,overcast clouds
49,Plettenberg Bay,ZA,-34.0527,23.3716,65.25,91,98,7.18,light rain
50,Shizunai,JP,42.3339,142.3669,31.89,89,0,5.19,clear sky
51,Kirakira,SB,-10.4544,161.9205,83.12,76,100,6.64,overcast clouds
52,Georgetown,MY,5.4112,100.3354,80.6,78,20,3.44,few clouds
53,Hobart,AU,-42.8794,147.3294,64.0,67,4,8.05,clear sky
54,Margate,GB,51.3813,1.3862,51.01,86,100,7.0,overcast clouds
55,Adrar,MR,20.5022,-10.0711,64.13,29,0,8.23,clear sky
56,Yellowknife,CA,62.456,-114.3525,1.4,51,20,5.75,few clouds
57,Saint George,US,37.1041,-113.5841,51.01,43,90,10.36,overcast clouds
58,Coquimbo,CL,-29.9533,-71.3436,68.0,73,20,11.5,few clouds
59,Victoria,HK,22.2855,114.1577,68.0,83,97,18.61,overcast clouds
60,Wanaka,NZ,-44.7,169.15,57.0,74,62,2.48,broken clouds
61,Matara,LK,5.9485,80.5353,76.32,79,100,13.29,overcast clouds
62,Susice,CZ,49.2311,13.5202,25.0,95,85,5.23,overcast clouds
63,Trairi,BR,-3.2778,-39.2689,79.02,81,99,9.01,overcast clouds
64,Hithadhoo,MV,-0.6,73.0833,78.35,83,100,2.8,overcast clouds
65,Carrickmacross,IE,53.9728,-6.7189,48.0,82,71,11.01,heavy intensity rain
66,Carnarvon,AU,-24.8667,113.6333,73.4,94,75,6.91,broken clouds
67,Chandauli,IN,25.2667,83.2667,67.86,28,0,1.7,clear sky
68,Aripuana,BR,-9.1667,-60.6333,71.4,98,100,1.92,light rain
69,Bredasdorp,ZA,-34.5322,20.0403,64.0,95,100,1.01,light rain
70,Darab,IR,28.7519,54.5444,55.72,38,0,0.96,clear sky
71,Punta Arenas,CL,-53.15,-70.9167,48.2,53,40,24.16,scattered clouds
72,Sorland,NO,67.667,12.6934,28.62,93,5,21.05,clear sky
73,Fortuna,US,40.5982,-124.1573,52.0,71,20,10.36,few clouds
74,Oranjestad,AW,12.524,-70.027,80.6,69,20,19.57,few clouds
75,Pevek,RU,69.7008,170.3133,-18.85,80,0,17.81,clear sky
76,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,25,50,33.38,dust
77,Middletown,US,39.5151,-84.3983,69.8,37,1,19.57,clear sky
78,Labuhan,ID,-6.8844,112.2051,77.32,86,79,6.08,broken clouds
79,Busselton,AU,-33.65,115.3333,71.01,93,100,1.99,light rain
80,Teahupoo,PF,-17.8333,-149.2667,87.8,66,40,5.75,scattered clouds
81,Tiznit,MA,29.5833,-9.5,60.01,48,0,5.46,clear sky
82,Mbini,GQ,1.574,9.6134,79.72,85,73,4.47,broken clouds
83,Narsaq,GL,60.9167,-46.05,24.8,80,90,2.3,light snow
84,Billings,US,45.7833,-108.5007,48.0,25,40,6.91,scattered clouds
85,Freetown,SL,8.484,-13.2299,78.82,84,48,7.67,scattered clouds
86,Port Alfred,ZA,-33.5906,26.891,68.0,92,83,4.0,broken clouds
87,Saldanha,ZA,-33.0117,17.9442,65.26,95,88,3.78,light rain
88,Tara,RU,56.8944,74.371,15.13,97,100,3.83,light snow
89,Traverse City,US,44.7631,-85.6206,60.8,51,90,10.36,overcast clouds
90,Bluff,NZ,-46.6,168.3333,55.99,71,12,1.01,few clouds
91,Grand Gaube,MU,-20.0064,57.6608,77.0,80,6,3.0,clear sky
92,Matay,EG,28.419,30.7792,67.53,24,0,12.15,clear sky
93,Hambantota,LK,6.1241,81.1185,75.97,85,100,5.84,overcast clouds
94,Sulangan,PH,11.1373,123.7228,80.6,79,100,23.69,overcast clouds
95,Miri,MY,4.4148,114.0089,77.0,100,40,3.44,scattered clouds
96,Chuy,UY,-33.6971,-53.4616,66.99,82,17,6.22,few clouds
97,Shikhazany,RU,55.5605,47.393,-0.4,60,0,6.71,clear sky
98,Camacha,PT,33.0833,-16.3333,60.8,67,75,10.36,broken clouds
99,Shimoda,JP,34.6667,138.95,43.0,60,62,1.01,broken clouds
100,Barinas,VE,8.6226,-70.2075,89.6,35,100,2.3,overcast clouds
101,Hofn,IS,64.2539,-15.2082,40.75,67,78,5.59,broken clouds
102,Airai,TL,-8.9266,125.4092,63.48,100,100,0.98,overcast clouds
103,Weston,US,26.1004,-80.3998,73.0,68,90,16.11,overcast clouds
104,Port Hardy,CA,50.6996,-127.4199,46.4,61,20,11.5,few clouds
105,Avarua,CK,-21.2078,-159.775,82.4,78,20,3.44,moderate rain
106,Sakakah,SA,29.9697,40.2064,69.8,21,0,18.41,clear sky
107,Namibe,AO,-15.1961,12.1522,75.49,71,69,5.53,broken clouds
108,Ponta Delgada,PT,37.7333,-25.6667,60.8,94,40,14.97,scattered clouds
109,Candelaria,PH,13.9311,121.4233,74.39,82,38,6.73,scattered clouds
110,Puerto Ayora,EC,-0.7393,-90.3518,81.0,89,75,9.22,light rain
